origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,distance_km,time_min
40,福岡県,41,佐賀県,56.9,48
40,福岡県,42,長崎県,146.6,114
40,福岡県,43,熊本県,110.9,94
40,福岡県,44,大分県,159.1,125
40,福岡県,45,宮崎県,279.0,235
40,福岡県,46,鹿児島県,282.6,250
41,佐賀県,40,福岡県,56.9,48
41,佐賀県,42,長崎県,92.9,81
41,佐賀県,43,熊本県,79.8,73
41,佐賀県,44,大分県,166.8,128
41,佐賀県,45,宮崎県,246.8,213
41,佐賀県,46,鹿児島県,250.4,228
42,長崎県,40,福岡県,147.4,115
42,長崎県,41,佐賀県,92.6,82
42,長崎県,43,熊本県,167.5,150
42,長崎県,44,大分県,255.7,193
42,長崎県,45,宮崎県,334.4,290
42,長崎県,46,鹿児島県,338.0,305
43,熊本県,40,福岡県,110.3,92
43,熊本県,41,佐賀県,79.2,76
43,熊本県,42,長崎県,167.2,153
43,熊本県,44,大分県,141.7,115
43,熊本県,45,宮崎県,172.2,154
43,熊本県,46,鹿児島県,175.8,169
44,大分県,40,福岡県,164.4,125
44,大分県,41,佐賀県,171.3,129
44,大分県,42,長崎県,260.4,193
44,大分県,43,熊本県,141.4,116
44,大分県,45,宮崎県,181.2,145
44,大分県,46,鹿児島県,300.3,261
45,宮崎県,40,福岡県,279.5,234
45,宮崎県,41,佐賀県,247.4,216
45,宮崎県,42,長崎県,335.4,293
45,宮崎県,43,熊本県,172.1,154
45,宮崎県,44,大分県,182.2,144
45,宮崎県,46,鹿児島県,133.2,132
46,鹿児島県,40,福岡県,282.5,249
46,鹿児島県,41,佐賀県,250.4,231
46,鹿児島県,42,長崎県,338.4,308
46,鹿児島県,43,熊本県,175.1,169
46,鹿児島県,44,大分県,300.8,262
46,鹿児島県,45,宮崎県,133.2,132
