origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,virtual_load,standard_deviation
40,福岡県,40,福岡県,98619.49949,29585.84985
40,福岡県,41,佐賀県,15261.61932,10878.95163
40,福岡県,42,長崎県,24248.15659,16251.38675
40,福岡県,43,熊本県,32866.71065,21107.55125
40,福岡県,44,大分県,21013.77788,14360.59404
40,福岡県,45,宮崎県,20006.66594,13762.79208
40,福岡県,46,鹿児島県,29671.06701,19334.62925
41,佐賀県,40,福岡県,20448.42344,14025.57176
41,佐賀県,41,佐賀県,3164.445733,949.33372
41,佐賀県,42,長崎県,5027.774184,4097.840934
41,佐賀県,43,熊本県,6814.802549,5363.564905
41,佐賀県,44,大分県,4357.136574,3608.66325
41,佐賀県,45,宮崎県,4148.315282,3454.467519
41,佐賀県,46,鹿児島県,6152.196526,4899.990529
42,長崎県,40,福岡県,16867.49505,11868.329
42,長崎県,41,佐賀県,2610.287923,2284.998284
42,長崎県,42,長崎県,4147.310253,1244.193076
42,長崎県,43,熊本県,5621.394169,4523.916291
42,長崎県,44,大分県,3594.114716,3040.406816
42,長崎県,45,宮崎県,3421.862213,2910.161289
42,長崎県,46,鹿児島県,5074.823728,4131.837075
43,熊本県,40,福岡県,32447.957,20876.92071
43,熊本県,41,佐賀県,5021.404187,4093.235119
43,熊本県,42,長崎県,7978.170104,6163.439078
43,熊本県,43,熊本県,10813.86156,3244.158466
43,熊本県,44,大分県,6913.989267,5432.433089
43,熊本県,45,宮崎県,6582.62757,5201.836108
43,熊本県,46,鹿児島県,9762.425399,7360.469795
44,大分県,40,福岡県,48562.31372,29442.41758
44,大分県,41,佐賀県,7515.142029,5847.093013
44,大分県,42,長崎県,11940.3018,8781.161289
44,大分県,43,熊本県,16184.25891,11449.19069
44,大分県,44,大分県,10347.62576,3104.287729
44,大分県,45,宮崎県,9851.702685,7419.525701
44,大分県,46,鹿児島県,14610.65684,10473.55075
45,宮崎県,40,福岡県,18388.99732,12792.69979
45,宮崎県,41,佐賀県,2845.744283,2468.4891
45,宮崎県,42,長崎県,4521.410968,3729.315268
45,宮崎県,43,熊本県,6128.461991,4883.267441
45,宮崎県,44,大分県,3918.315416,3283.51108
45,宮崎県,45,宮崎県,3730.525184,1119.157555
45,宮崎県,46,鹿児島県,5532.58914,4460.558547
46,鹿児島県,40,福岡県,24839.77137,16592.77591
46,鹿児島県,41,佐賀県,3844.018035,3228.02447
46,鹿児島県,42,長崎県,6107.500736,4868.49134
46,鹿児島県,43,熊本県,8278.297724,6367.158777
46,鹿児島県,44,大分県,5292.842092,4288.850167
46,鹿児島県,45,宮崎県,5039.175927,4106.083089
46,鹿児島県,46,鹿児島県,7473.39547,2242.018641
