prefecture_code,prefecture_name,latitude,longitude
24,三重県,34.730547,136.50861
25,滋賀県,35.004532,135.868588
26,京都府,35.020996,135.753114
27,大阪府,34.686492,135.518992
28,兵庫県,34.69128,135.183087
29,奈良県,34.685296,135.832745
30,和歌山県,34.224806,135.16795
31,鳥取県,35.503463,134.238258
32,島根県,35.472248,133.05083
33,岡山県,34.66132,133.934414
34,広島県,34.396033,132.459595
35,山口県,34.185648,131.470755
36,徳島県,34.065732,134.559293
37,香川県,34.34014,134.04297
38,愛媛県,33.841649,132.76585
39,高知県,33.55969,133.530887
40,福岡県,33.606767,130.418228
41,佐賀県,33.249367,130.298822
42,長崎県,32.744542,129.873037
43,熊本県,32.790385,130.742345
44,大分県,33.2382,131.612674
45,宮崎県,31.91109,131.423855
46,鹿児島県,31.560219,130.557906
