origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,distance_km,time_min
24,三重県,25,滋賀県,82.7,70
24,三重県,26,京都府,94.1,87
24,三重県,27,大阪府,129.1,102
24,三重県,28,兵庫県,159.7,139
24,三重県,29,奈良県,87.2,69
24,三重県,30,和歌山県,171.1,141
24,三重県,31,鳥取県,312.2,276
24,三重県,32,島根県,404.0,355
24,三重県,33,岡山県,293.0,253
24,三重県,34,広島県,447.3,376
24,三重県,35,山口県,573.6,460
24,三重県,36,徳島県,281.0,233
24,三重県,37,香川県,330.0,283
24,三重県,38,愛媛県,466.7,372
24,三重県,39,高知県,431.4,366
25,滋賀県,24,三重県,82.7,70
25,滋賀県,26,京都府,14.4,24
25,滋賀県,27,大阪府,57.0,64
25,滋賀県,28,兵庫県,81.5,86
25,滋賀県,29,奈良県,46.7,51
25,滋賀県,30,和歌山県,129.3,126
25,滋賀県,31,鳥取県,233.4,216
25,滋賀県,32,島根県,325.2,295
25,滋賀県,33,岡山県,214.2,192
25,滋賀県,34,広島県,368.5,315
25,滋賀県,35,山口県,494.8,399
25,滋賀県,36,徳島県,202.2,172
25,滋賀県,37,香川県,251.2,223
25,滋賀県,38,愛媛県,387.9,311
25,滋賀県,39,高知県,352.6,305
26,京都府,24,三重県,93.8,86
26,京都府,25,滋賀県,14.3,24
26,京都府,27,大阪府,49.1,57
26,京都府,28,兵庫県,75.3,84
26,京都府,29,奈良県,43.0,47
26,京都府,30,和歌山県,121.4,119
26,京都府,31,鳥取県,226.1,204
26,京都府,32,島根県,319.1,293
26,京都府,33,岡山県,208.0,190
26,京都府,34,広島県,362.3,314
26,京都府,35,山口県,488.6,397
26,京都府,36,徳島県,196.1,171
26,京都府,37,香川県,245.0,221
26,京都府,38,愛媛県,381.7,309
26,京都府,39,高知県,346.4,303
27,大阪府,24,三重県,127.5,103
27,大阪府,25,滋賀県,57.3,65
27,大阪府,26,京都府,48.6,58
27,大阪府,28,兵庫県,37.9,47
27,大阪府,29,奈良県,31.4,40
27,大阪府,30,和歌山県,70.0,69
27,大阪府,31,鳥取県,198.1,191
27,大阪府,32,島根県,290.0,270
27,大阪府,33,岡山県,179.0,170
27,大阪府,34,広島県,333.3,293
27,大阪府,35,山口県,459.6,376
