origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,virtual_load,standard_deviation
24,三重県,24,三重県,34800.0256,10440.00768
24,三重県,25,滋賀県,28515.27522,18685.76994
24,三重県,26,京都府,51254.27499,30819.96096
24,三重県,27,大阪府,178108.6056,86677.76533
24,三重県,28,兵庫県,108549.2324,57774.18662
24,三重県,29,奈良県,26135.61245,17336.04575
24,三重県,30,和歌山県,17898.31825,12495.90781
24,三重県,31,鳥取県,10800.00795,8042.349447
24,三重県,32,島根県,13057.63673,9495.353506
24,三重県,33,岡山県,37240.70536,23488.29717
24,三重県,34,広島県,55200.04061,32815.76217
24,三重県,35,山口県,26054.25646,17289.55863
24,三重県,36,徳島県,13932.21364,10048.19171
24,三重県,37,香川県,18650.86118,12950.59536
24,三重県,38,愛媛県,25952.56147,17231.41684
24,三重県,39,高知県,13342.3827,9675.922423
24,三重県,40,福岡県,103566.1779,55570.00977
24,三重県,41,佐賀県,16027.13044,11352.42705
24,三重県,42,長崎県,25464.42551,16951.82308
24,三重県,43,熊本県,34515.27963,22010.79371
24,三重県,44,大分県,22067.81285,14981.49186
24,三重県,45,宮崎県,21010.18495,14358.46937
24,三重県,46,鹿児島県,31159.34496,20164.06225
25,滋賀県,24,三重県,25911.48291,17207.92072
25,滋賀県,25,滋賀県,21231.96905,6369.590714
25,滋賀県,26,京都府,38163.02568,23984.07586
25,滋賀県,27,大阪府,132616.5142,68139.10257
25,滋賀県,28,兵庫県,80823.83652,45211.90292
25,滋賀県,29,奈良県,19460.11428,13436.43058
25,滋賀県,30,和歌山県,13326.77087,9666.036937
25,滋賀県,31,鳥取県,8041.494696,6206.507568
25,滋賀県,32,島根県,9722.485112,7334.025461
25,滋賀県,33,岡山県,27728.76985,18241.77176
25,滋賀県,34,広島県,41100.97289,25549.87571
25,滋賀県,35,山口県,19399.53805,13400.17253
25,滋賀県,36,徳島県,10373.6796,7763.338115
25,滋賀県,37,香川県,13887.10101,10019.8015
25,滋賀県,38,愛媛県,19323.81776,13354.82547
25,滋賀県,39,高知県,9934.501922,7474.229871
25,滋賀県,40,福岡県,77113.54236,43469.982
25,滋賀県,41,佐賀県,11933.51755,8776.796321
25,滋賀県,42,長崎県,18960.36038,13136.77749
25,滋賀県,43,熊本県,25699.4661,17086.55578
25,滋賀県,44,大分県,16431.30272,11601.04299
25,滋賀県,45,宮崎県,15643.81172,11115.77207
25,滋賀県,46,鹿児島県,23200.69656,15643.67375
26,京都府,24,三重県,18308.05944,12743.82761
26,京都府,25,滋賀県,15001.69453,10717.39064
